epoch,loss_data,loss_phys,loss_total
810,0.00615040,0.02206479,0.00637105
820,0.00604837,0.02113571,0.00625973
830,0.00594749,0.02027664,0.00615025
840,0.00584760,0.01947995,0.00604240
850,0.00574858,0.01873910,0.00593597
860,0.00565034,0.01804841,0.00583083
870,0.00555283,0.01740295,0.00572686
880,0.00545599,0.01679841,0.00562398
890,0.00535981,0.01623099,0.00552212
900,0.00526429,0.01569737,0.00542126
910,0.00516942,0.01519457,0.00532137
920,0.00507524,0.01471996,0.00522244
930,0.00498178,0.01427117,0.00512449
940,0.00488907,0.01384608,0.00502753
950,0.00479716,0.01344278,0.00493159
960,0.00470610,0.01305953,0.00483669
970,0.00461594,0.01269475,0.00474289
980,0.00452675,0.01234702,0.00465022
990,0.00443857,0.01201501,0.00455872
1000,0.00435146,0.01169752,0.00446843
1010,0.00426548,0.01139343,0.00437941
1020,0.00418068,0.01110174,0.00429169
1030,0.00409710,0.01082149,0.00420531
1040,0.00401478,0.01055184,0.00412030
1050,0.00393377,0.01029198,0.00403668
1060,0.00385407,0.01004120,0.00395448
1070,0.00377571,0.00979882,0.00387370
1080,0.00369869,0.00956426,0.00379434
1090,0.00362302,0.00933697,0.00371639
1100,0.00354866,0.00911648,0.00363983
1110,0.00347561,0.00890237,0.00356463
1120,0.00340380,0.00869428,0.00349075
1130,0.00333321,0.00849191,0.00341813
1140,0.00326377,0.00829500,0.00334672
1150,0.00319540,0.00810336,0.00327644
1160,0.00312804,0.00791684,0.00320720
1170,0.00306158,0.00773534,0.00313894
1180,0.00299595,0.00755879,0.00307154
1190,0.00293105,0.00738717,0.00300492
1200,0.00286677,0.00722048,0.00293897
1210,0.00280301,0.00705876,0.00287360
1220,0.00273968,0.00690205,0.00280870
1230,0.00267668,0.00675040,0.00274419
1240,0.00261393,0.00660387,0.00267996
1250,0.00255132,0.00646253,0.00261595
1260,0.00248880,0.00632643,0.00255206
1270,0.00242629,0.00619560,0.00248824
1280,0.00236374,0.00607006,0.00242444
1290,0.00230111,0.00594981,0.00236060
1300,0.00223837,0.00583482,0.00229672
1310,0.00217551,0.00572502,0.00223276
1320,0.00211254,0.00562033,0.00216874
1330,0.00204948,0.00552062,0.00210469
1340,0.00198637,0.00542573,0.00204063
1350,0.00192326,0.00533545,0.00197662
1360,0.00186024,0.00524955,0.00191274
1370,0.00179740,0.00516775,0.00184907
1380,0.00173483,0.00508973,0.00178573
1390,0.00167271,0.00501500,0.00172286
1400,0.00164185,0.00493799,0.00169123
1410,0.00155636,0.00487521,0.00160511
1420,0.00150111,0.00480932,0.00154921
1430,0.00144258,0.00474593,0.00149004
1440,0.00138791,0.00468347,0.00143475
1450,0.00133537,0.00462095,0.00138158
1460,0.00128389,0.00455874,0.00132948
1470,0.00123394,0.00449706,0.00127891
1480,0.00118559,0.00443569,0.00122995
1490,0.00113891,0.00437435,0.00118266
1500,0.00109400,0.00431281,0.00113713
1510,0.00105093,0.00425086,0.00109344
1520,0.00100977,0.00418838,0.00105165
1530,0.00097057,0.00412525,0.00101182
1540,0.00093335,0.00406141,0.00097397
1550,0.00089814,0.00399681,0.00093811
1560,0.00086493,0.00393147,0.00090425
1570,0.00083370,0.00386540,0.00087235
1580,0.00080440,0.00379867,0.00084239
1590,0.00077699,0.00373136,0.00081430
1600,0.00075139,0.00366357,0.00078803
1610,0.00072755,0.00359544,0.00076350
1620,0.00070536,0.00352710,0.00074063
1630,0.00068474,0.00345869,0.00071933
1640,0.00066560,0.00339037,0.00069951
1650,0.00064783,0.00332229,0.00068106
1660,0.00063134,0.00325460,0.00066389
1670,0.00061602,0.00318746,0.00064790
1680,0.00060179,0.00312100,0.00063300
1690,0.00058854,0.00305536,0.00061909
1700,0.00057618,0.00299065,0.00060609
1710,0.00056464,0.00292699,0.00059391
1720,0.00055383,0.00286447,0.00058248
1730,0.00054368,0.00280318,0.00057171
1740,0.00053413,0.00274318,0.00056156
1750,0.00052510,0.00268453,0.00055195
1760,0.00051655,0.00262730,0.00054282
1770,0.00050842,0.00257149,0.00053414
1780,0.00050068,0.00251716,0.00052585
1790,0.00049329,0.00246439,0.00051794
1800,0.00050537,0.00241557,0.00052953
1810,0.00049170,0.00236476,0.00051535
1820,0.00047367,0.00232338,0.00049691
1830,0.00047019,0.00228204,0.00049301
1840,0.00046305,0.00224036,0.00048546
1850,0.00045687,0.00219949,0.00047887
1860,0.00045166,0.00215995,0.00047326
1870,0.00044649,0.00212165,0.00046770
1880,0.00044142,0.00208444,0.00046227
1890,0.00043649,0.00204825,0.00045697
1900,0.00043167,0.00201305,0.00045180
1910,0.00042695,0.00197886,0.00044674
1920,0.00042233,0.00194564,0.00044178
1930,0.00041779,0.00191339,0.00043692
1940,0.00041333,0.00188206,0.00043215
1950,0.00040896,0.00185162,0.00042747
1960,0.00040466,0.00182206,0.00042288
1970,0.00040043,0.00179334,0.00041837
1980,0.00039628,0.00176543,0.00041393
1990,0.00039219,0.00173830,0.00040958
2000,0.00038817,0.00171193,0.00040529
2010,0.00038422,0.00168628,0.00040108
2020,0.00038033,0.00166134,0.00039694
2030,0.00037650,0.00163707,0.00039287
2040,0.00037273,0.00161345,0.00038886
2050,0.00036901,0.00159045,0.00038492
2060,0.00036536,0.00156806,0.00038104
2070,0.00036176,0.00154625,0.00037722
2080,0.00035822,0.00152499,0.00037347
2090,0.00035473,0.00150427,0.00036977
2100,0.00035129,0.00148406,0.00036613
2110,0.00034790,0.00146435,0.00036255
2120,0.00034457,0.00144512,0.00035902
2130,0.00034128,0.00142634,0.00035555
2140,0.00033805,0.00140798,0.00035213
2150,0.00033723,0.00138943,0.00035113
2160,0.00033183,0.00137337,0.00034556
2170,0.00033020,0.00135884,0.00034379
2180,0.00033087,0.00134445,0.00034431
2190,0.00032479,0.00132922,0.00033809
2200,0.00032085,0.00131409,0.00033399
2210,0.00031833,0.00129947,0.00033133
2220,0.00031570,0.00128530,0.00032855
2230,0.00031307,0.00127141,0.00032579
2240,0.00031052,0.00125775,0.00032309
2250,0.00030800,0.00124432,0.00032045
2260,0.00030552,0.00123113,0.00031784
2270,0.00030308,0.00121816,0.00031526
2280,0.00030066,0.00120543,0.00031271
2290,0.00029826,0.00119292,0.00031019
2300,0.00029590,0.00118062,0.00030770
2310,0.00029356,0.00116853,0.00030524
2320,0.00029125,0.00115664,0.00030281
2330,0.00028896,0.00114495,0.00030041
2340,0.00028670,0.00113345,0.00029804
2350,0.00028447,0.00112214,0.00029569
2360,0.00028226,0.00111100,0.00029337
2370,0.00028007,0.00110005,0.00029107
2380,0.00027791,0.00108926,0.00028880
2390,0.00027577,0.00107864,0.00028655
2400,0.00027365,0.00106819,0.00028433
2410,0.00027155,0.00105789,0.00028213
2420,0.00026948,0.00104775,0.00027996
2430,0.00026743,0.00103776,0.00027780
2440,0.00026539,0.00102792,0.00027567
2450,0.00026338,0.00101822,0.00027356
2460,0.00026139,0.00100867,0.00027148
2470,0.00025942,0.00099925,0.00026941
2480,0.00025746,0.00098997,0.00026736
2490,0.00025553,0.00098082,0.00026534
2500,0.00025363,0.00097175,0.00026335
2510,0.00026364,0.00096178,0.00027326
2520,0.00029095,0.00095697,0.00030052
2530,0.00026084,0.00094859,0.00027032
2540,0.00024682,0.00094004,0.00025622
2550,0.00024587,0.00093189,0.00025519
2560,0.00024390,0.00092426,0.00025314
2570,0.00024174,0.00091682,0.00025091
2580,0.00024009,0.00090941,0.00024919
2590,0.00023851,0.00090202,0.00024753
2600,0.00023693,0.00089470,0.00024587
2610,0.00023535,0.00088748,0.00024422
2620,0.00023378,0.00088035,0.00024259
2630,0.00023223,0.00087333,0.00024097
2640,0.00023069,0.00086639,0.00023935
2650,0.00022916,0.00085953,0.00023775
2660,0.00022763,0.00085276,0.00023616
2670,0.00022612,0.00084607,0.00023458
2680,0.00022461,0.00083947,0.00023301
2690,0.00022311,0.00083294,0.00023144
2700,0.00022163,0.00082649,0.00022989
2710,0.00022014,0.00082011,0.00022835
2720,0.00021867,0.00081381,0.00022681
2730,0.00021721,0.00080758,0.00022528
2740,0.00021575,0.00080143,0.00022376
2750,0.00021430,0.00079535,0.00022225
2760,0.00021286,0.00078934,0.00022075
2770,0.00021142,0.00078340,0.00021925
2780,0.00020999,0.00077752,0.00021777
2790,0.00020857,0.00077172,0.00021629
2800,0.00020715,0.00076599,0.00021481
2810,0.00020574,0.00076032,0.00021335
2820,0.00020434,0.00075471,0.00021189
2830,0.00020294,0.00074918,0.00021043
2840,0.00020155,0.00074370,0.00020899
2850,0.00020017,0.00073829,0.00020755
2860,0.00019879,0.00073295,0.00020612
2870,0.00019741,0.00072767,0.00020469
2880,0.00019691,0.00072268,0.00020413
2890,0.00026270,0.00071953,0.00026990
2900,0.00021406,0.00071430,0.00022120
2910,0.00019312,0.00070902,0.00020021
2920,0.00019217,0.00070396,0.00019921
2930,0.00019086,0.00069935,0.00019785
2940,0.00018876,0.00069492,0.00019571
2950,0.00018745,0.00069049,0.00019436
2960,0.00018628,0.00068605,0.00019314
2970,0.00018508,0.00068164,0.00019190
2980,0.00018389,0.00067729,0.00019066
2990,0.00018271,0.00067299,0.00018943
3000,0.00018152,0.00066875,0.00018821
3010,0.00018035,0.00066456,0.00018699
3020,0.00017917,0.00066041,0.00018578
3030,0.00017800,0.00065631,0.00018456
3040,0.00017683,0.00065226,0.00018335
3050,0.00017567,0.00064824,0.00018215
3060,0.00017450,0.00064427,0.00018095
3070,0.00017334,0.00064034,0.00017975
3080,0.00017218,0.00063646,0.00017855
3090,0.00017103,0.00063261,0.00017735
3100,0.00016987,0.00062881,0.00017616
3110,0.00016872,0.00062505,0.00017497
3120,0.00016758,0.00062133,0.00017379
3130,0.00016643,0.00061765,0.00017261
3140,0.00016529,0.00061400,0.00017143
3150,0.00016415,0.00061040,0.00017025
3160,0.00016301,0.00060684,0.00016908
3170,0.00016187,0.00060331,0.00016791
3180,0.00016074,0.00059982,0.00016674
3190,0.00015961,0.00059637,0.00016557
3200,0.00015848,0.00059296,0.00016441
3210,0.00015736,0.00058958,0.00016325
3220,0.00015624,0.00058624,0.00016210
3230,0.00015512,0.00058294,0.00016095
3240,0.00015400,0.00057967,0.00015980
3250,0.00015289,0.00057644,0.00015865
3260,0.00015185,0.00057329,0.00015758
3270,0.00018524,0.00057130,0.00019095
3280,0.00017130,0.00056656,0.00017697
3290,0.00014915,0.00056475,0.00015480
3300,0.00014993,0.00056239,0.00015555
3310,0.00014824,0.00055945,0.00015384
3320,0.00014581,0.00055639,0.00015137
3330,0.00014476,0.00055347,0.00015030
3340,0.00014382,0.00055067,0.00014933
3350,0.00014282,0.00054795,0.00014830
3360,0.00014184,0.00054526,0.00014729
3370,0.00014087,0.00054261,0.00014629
3380,0.00013990,0.00053998,0.00014530
3390,0.00013894,0.00053737,0.00014432
3400,0.00013798,0.00053479,0.00014333
3410,0.00013703,0.00053224,0.00014235
3420,0.00013608,0.00052971,0.00014137
3430,0.00013513,0.00052720,0.00014040
3440,0.00013418,0.00052472,0.00013943
3450,0.00013323,0.00052227,0.00013846
3460,0.00013229,0.00051984,0.00013749
3470,0.00013135,0.00051743,0.00013653
3480,0.00013042,0.00051505,0.00013557
3490,0.00012948,0.00051269,0.00013461
3500,0.00012855,0.00051036,0.00013366
3510,0.00012763,0.00050804,0.00013271
3520,0.00012670,0.00050575,0.00013176
3530,0.00012578,0.00050349,0.00013082
3540,0.00012487,0.00050124,0.00012988
3550,0.00012395,0.00049902,0.00012894
3560,0.00012304,0.00049682,0.00012801
3570,0.00012214,0.00049464,0.00012708
3580,0.00012123,0.00049249,0.00012616
3590,0.00012034,0.00049035,0.00012524
3600,0.00011944,0.00048824,0.00012432
3610,0.00011855,0.00048614,0.00012341
3620,0.00011766,0.00048407,0.00012250
3630,0.00011678,0.00048201,0.00012160
3640,0.00011590,0.00047998,0.00012070
3650,0.00011503,0.00047797,0.00011981
3660,0.00011438,0.00047606,0.00011914
3670,0.00019581,0.00047561,0.00020057
3680,0.00011916,0.00047300,0.00012389
3690,0.00012195,0.00047147,0.00012666
3700,0.00011300,0.00046936,0.00011769
3710,0.00011033,0.00046721,0.00011500
3720,0.00010992,0.00046529,0.00011458
3730,0.00010885,0.00046354,0.00011349
3740,0.00010799,0.00046182,0.00011261
3750,0.00010725,0.00046011,0.00011185
3760,0.00010651,0.00045840,0.00011110
3770,0.00010578,0.00045670,0.00011035
3780,0.00010505,0.00045501,0.00010960
3790,0.00010432,0.00045334,0.00010886
3800,0.00010360,0.00045169,0.00010812
3810,0.00010288,0.00045005,0.00010739
3820,0.00010217,0.00044842,0.00010666
3830,0.00010146,0.00044681,0.00010593
3840,0.00010076,0.00044521,0.00010521
3850,0.00010006,0.00044362,0.00010449
3860,0.00009936,0.00044205,0.00010378
3870,0.00009867,0.00044049,0.00010307
3880,0.00009798,0.00043894,0.00010237
3890,0.00009729,0.00043741,0.00010167
3900,0.00009661,0.00043589,0.00010097
3910,0.00009594,0.00043438,0.00010028
3920,0.00009527,0.00043289,0.00009959
3930,0.00009460,0.00043140,0.00009891
3940,0.00009394,0.00042993,0.00009824
3950,0.00009328,0.00042847,0.00009756
3960,0.00009263,0.00042702,0.00009690
3970,0.00009198,0.00042558,0.00009623
3980,0.00009133,0.00042416,0.00009557
3990,0.00009069,0.00042274,0.00009492
4000,0.00009006,0.00042134,0.00009427
4010,0.00008943,0.00041995,0.00009363
4020,0.00008880,0.00041857,0.00009299
4030,0.00008818,0.00041720,0.00009235
4040,0.00008757,0.00041584,0.00009172
4050,0.00008696,0.00041448,0.00009110
4060,0.00008635,0.00041314,0.00009048
4070,0.00008575,0.00041181,0.00008987
4080,0.00008645,0.00041032,0.00009055
4090,0.00013116,0.00040831,0.00013525
4100,0.00009468,0.00040793,0.00009876
4110,0.00008396,0.00040736,0.00008803
4120,0.00008578,0.00040624,0.00008984
4130,0.00008292,0.00040480,0.00008697
4140,0.00008203,0.00040343,0.00008606
4150,0.00008161,0.00040219,0.00008563
4160,0.00008103,0.00040103,0.00008504
4170,0.00008050,0.00039988,0.00008450
4180,0.00008001,0.00039873,0.00008400
4190,0.00007952,0.00039758,0.00008350
4200,0.00007904,0.00039643,0.00008300
4210,0.00007856,0.00039529,0.00008251
4220,0.00007808,0.00039415,0.00008202
4230,0.00007761,0.00039302,0.00008154
4240,0.00007714,0.00039190,0.00008106
4250,0.00007667,0.00039079,0.00008058
4260,0.00007621,0.00038969,0.00008011
4270,0.00007575,0.00038859,0.00007964
4280,0.00007530,0.00038750,0.00007917
4290,0.00007484,0.00038641,0.00007871
4300,0.00007440,0.00038534,0.00007825
4310,0.00007395,0.00038427,0.00007779
4320,0.00007351,0.00038320,0.00007734
4330,0.00007307,0.00038215,0.00007689
4340,0.00007264,0.00038110,0.00007645
4350,0.00007221,0.00038005,0.00007601
4360,0.00007178,0.00037902,0.00007557
4370,0.00007136,0.00037799,0.00007514
4380,0.00007094,0.00037696,0.00007471
4390,0.00007052,0.00037594,0.00007428
4400,0.00007011,0.00037493,0.00007386
4410,0.00006970,0.00037393,0.00007344
4420,0.00006929,0.00037293,0.00007302
4430,0.00006889,0.00037194,0.00007261
4440,0.00006849,0.00037095,0.00007220
4450,0.00006809,0.00036997,0.00007179
4460,0.00006770,0.00036900,0.00007139
4470,0.00006731,0.00036803,0.00007099
4480,0.00006692,0.00036707,0.00007059
4490,0.00006654,0.00036611,0.00007020
4500,0.00006616,0.00036516,0.00006981
4510,0.00006632,0.00036432,0.00006996
4520,0.00015975,0.00036467,0.00016340
4530,0.00009269,0.00036346,0.00009632
4540,0.00006828,0.00036221,0.00007190
4550,0.00006520,0.00036091,0.00006881
4560,0.00006527,0.00035994,0.00006887
4570,0.00006386,0.00035914,0.00006745
4580,0.00006353,0.00035833,0.00006711
4590,0.00006322,0.00035749,0.00006680
4600,0.00006287,0.00035664,0.00006644
4610,0.00006255,0.00035579,0.00006611
4620,0.00006225,0.00035495,0.00006580
4630,0.00006194,0.00035412,0.00006548
4640,0.00006164,0.00035329,0.00006517
4650,0.00006134,0.00035247,0.00006487
4660,0.00006104,0.00035165,0.00006456
4670,0.00006075,0.00035084,0.00006426
4680,0.00006046,0.00035004,0.00006396
4690,0.00006016,0.00034924,0.00006366
4700,0.00005987,0.00034844,0.00006336
4710,0.00005959,0.00034765,0.00006306
4720,0.00005930,0.00034686,0.00006277
4730,0.00005902,0.00034608,0.00006248
4740,0.00005874,0.00034530,0.00006219
4750,0.00005846,0.00034453,0.00006190
4760,0.00005818,0.00034377,0.00006162
4770,0.00005791,0.00034300,0.00006134
4780,0.00005763,0.00034225,0.00006105
4790,0.00005736,0.00034149,0.00006078
4800,0.00005709,0.00034075,0.00006050
4810,0.00005682,0.00034001,0.00006022
4820,0.00005656,0.00033927,0.00005995
4830,0.00005629,0.00033854,0.00005968
4840,0.00005603,0.00033781,0.00005941
4850,0.00005577,0.00033708,0.00005914
4860,0.00005551,0.00033637,0.00005887
4870,0.00005525,0.00033565,0.00005861
4880,0.00005500,0.00033495,0.00005835
4890,0.00005475,0.00033424,0.00005809
4900,0.00005449,0.00033354,0.00005783
4910,0.00005424,0.00033285,0.00005757
4920,0.00005399,0.00033216,0.00005732
4930,0.00005375,0.00033148,0.00005706
4940,0.00005350,0.00033080,0.00005681
4950,0.00005327,0.00033011,0.00005657
4960,0.00005947,0.00032914,0.00006276
4970,0.00007583,0.00032960,0.00007912
4980,0.00006950,0.00032906,0.00007279
4990,0.00005445,0.00032810,0.00005773
5000,0.00005303,0.00032712,0.00005630
5010,0.00005263,0.00032646,0.00005590
5020,0.00005176,0.00032593,0.00005502
5030,0.00005163,0.00032537,0.00005488
5040,0.00005138,0.00032476,0.00005463
5050,0.00005115,0.00032416,0.00005440
5060,0.00005095,0.00032356,0.00005419
5070,0.00005076,0.00032297,0.00005399
5080,0.00005056,0.00032238,0.00005378
5090,0.00005036,0.00032180,0.00005358
5100,0.00005016,0.00032123,0.00005338
5110,0.00004997,0.00032066,0.00005318
5120,0.00004978,0.00032009,0.00005298
5130,0.00004958,0.00031953,0.00005278
5140,0.00004939,0.00031897,0.00005258
5150,0.00004920,0.00031842,0.00005239
5160,0.00004901,0.00031787,0.00005219
5170,0.00004882,0.00031732,0.00005200
5180,0.00004864,0.00031678,0.00005180
5190,0.00004845,0.00031624,0.00005161
5200,0.00004826,0.00031571,0.00005142
5210,0.00004808,0.00031518,0.00005123
5220,0.00004789,0.00031465,0.00005104
5230,0.00004771,0.00031413,0.00005085
5240,0.00004753,0.00031361,0.00005066
5250,0.00004735,0.00031310,0.00005048
5260,0.00004717,0.00031259,0.00005029
5270,0.00004699,0.00031209,0.00005011
5280,0.00004681,0.00031159,0.00004992
5290,0.00004663,0.00031109,0.00004974
5300,0.00004645,0.00031060,0.00004956
5310,0.00004628,0.00031012,0.00004938
5320,0.00004610,0.00030963,0.00004920
5330,0.00004593,0.00030915,0.00004902
5340,0.00004576,0.00030868,0.00004884
5350,0.00004558,0.00030821,0.00004867
5360,0.00004541,0.00030774,0.00004849
5370,0.00004524,0.00030728,0.00004831
5380,0.00004507,0.00030683,0.00004814
5390,0.00004490,0.00030637,0.00004797
5400,0.00004473,0.00030592,0.00004779
5410,0.00004457,0.00030548,0.00004762
5420,0.00004457,0.00030509,0.00004762
5430,0.00012048,0.00030567,0.00012353
5440,0.00005305,0.00030481,0.00005610
5450,0.00005461,0.00030449,0.00005766
5460,0.00004403,0.00030370,0.00004706
5470,0.00004469,0.00030305,0.00004772
5480,0.00004375,0.00030268,0.00004678
5490,0.00004341,0.00030235,0.00004643
5500,0.00004330,0.00030197,0.00004632
5510,0.00004311,0.00030156,0.00004613
5520,0.00004297,0.00030116,0.00004598
5530,0.00004283,0.00030077,0.00004584
5540,0.00004269,0.00030038,0.00004569
5550,0.00004255,0.00030000,0.00004555
5560,0.00004241,0.00029962,0.00004541
5570,0.00004228,0.00029925,0.00004527
5580,0.00004214,0.00029887,0.00004513
5590,0.00004201,0.00029851,0.00004499
5600,0.00004187,0.00029814,0.00004485
5610,0.00004174,0.00029778,0.00004472
5620,0.00004160,0.00029742,0.00004458
5630,0.00004147,0.00029707,0.00004444
5640,0.00004134,0.00029672,0.00004431
5650,0.00004121,0.00029637,0.00004417
5660,0.00004107,0.00029602,0.00004404
5670,0.00004094,0.00029568,0.00004390
5680,0.00004081,0.00029535,0.00004377
5690,0.00004068,0.00029501,0.00004363
5700,0.00004055,0.00029468,0.00004350
5710,0.00004042,0.00029435,0.00004337
5720,0.00004030,0.00029403,0.00004324
5730,0.00004017,0.00029371,0.00004310
5740,0.00004004,0.00029339,0.00004297
5750,0.00003991,0.00029308,0.00004284
5760,0.00003979,0.00029277,0.00004271
5770,0.00003966,0.00029246,0.00004258
5780,0.00003953,0.00029216,0.00004245
5790,0.00003941,0.00029186,0.00004233
5800,0.00003928,0.00029157,0.00004220
5810,0.00003916,0.00029127,0.00004207
5820,0.00003903,0.00029098,0.00004194
5830,0.00003891,0.00029070,0.00004182
5840,0.00003879,0.00029042,0.00004169
5850,0.00003867,0.00029014,0.00004157
5860,0.00003854,0.00028986,0.00004144
5870,0.00003842,0.00028959,0.00004132
5880,0.00003830,0.00028932,0.00004119
5890,0.00003818,0.00028905,0.00004107
5900,0.00003863,0.00028871,0.00004152
5910,0.00011441,0.00028761,0.00011729
5920,0.00005764,0.00028806,0.00006052
5930,0.00003774,0.00028833,0.00004063
5940,0.00004042,0.00028819,0.00004330
5950,0.00003767,0.00028773,0.00004055
5960,0.00003767,0.00028737,0.00004054
5970,0.00003742,0.00028714,0.00004029
5980,0.00003723,0.00028694,0.00004010
5990,0.00003714,0.00028671,0.00004001
6000,0.00003704,0.00028646,0.00003990
6010,0.00003693,0.00028621,0.00003979
6020,0.00003683,0.00028597,0.00003969
6030,0.00003673,0.00028573,0.00003959
6040,0.00003663,0.00028550,0.00003949
6050,0.00003653,0.00028527,0.00003939
6060,0.00003643,0.00028504,0.00003928
6070,0.00003634,0.00028481,0.00003918
6080,0.00003624,0.00028459,0.00003908
6090,0.00003614,0.00028437,0.00003898
6100,0.00003604,0.00028416,0.00003888
6110,0.00003594,0.00028394,0.00003878
6120,0.00003585,0.00028373,0.00003868
6130,0.00003575,0.00028352,0.00003859
6140,0.00003565,0.00028331,0.00003849
6150,0.00003556,0.00028311,0.00003839
6160,0.00003546,0.00028291,0.00003829
6170,0.00003537,0.00028271,0.00003819
6180,0.00003527,0.00028251,0.00003810
6190,0.00003518,0.00028232,0.00003800
6200,0.00003508,0.00028213,0.00003790
6210,0.00003499,0.00028194,0.00003781
6220,0.00003489,0.00028176,0.00003771
6230,0.00003480,0.00028158,0.00003762
6240,0.00003471,0.00028140,0.00003752
6250,0.00003461,0.00028122,0.00003743
6260,0.00003452,0.00028105,0.00003733
6270,0.00003443,0.00028087,0.00003724
6280,0.00003434,0.00028070,0.00003714
6290,0.00003424,0.00028054,0.00003705
6300,0.00003415,0.00028037,0.00003696
6310,0.00003406,0.00028021,0.00003686
6320,0.00003397,0.00028005,0.00003677
6330,0.00003388,0.00027990,0.00003668
6340,0.00003379,0.00027974,0.00003659
6350,0.00003370,0.00027959,0.00003649
6360,0.00003361,0.00027944,0.00003640
6370,0.00003352,0.00027930,0.00003631
6380,0.00003343,0.00027916,0.00003622
6390,0.00003343,0.00027905,0.00003622
6400,0.00008686,0.00027972,0.00008966
6410,0.00003439,0.00027909,0.00003718
6420,0.00004291,0.00027921,0.00004570
6430,0.00003351,0.00027874,0.00003630
6440,0.00003399,0.00027833,0.00003677
6450,0.00003301,0.00027823,0.00003580
6460,0.00003288,0.00027816,0.00003566
6470,0.00003277,0.00027801,0.00003555
6480,0.00003265,0.00027784,0.00003543
6490,0.00003258,0.00027768,0.00003536
6500,0.00003250,0.00027754,0.00003528
6510,0.00003243,0.00027739,0.00003520
6520,0.00003235,0.00027725,0.00003513
6530,0.00003228,0.00027711,0.00003505
6540,0.00003221,0.00027698,0.00003498
6550,0.00003213,0.00027684,0.00003490
6560,0.00003206,0.00027671,0.00003483
6570,0.00003199,0.00027657,0.00003475
6580,0.00003191,0.00027644,0.00003468
6590,0.00003184,0.00027632,0.00003460
6600,0.00003177,0.00027619,0.00003453
6610,0.00003170,0.00027607,0.00003446
6620,0.00003162,0.00027595,0.00003438
6630,0.00003155,0.00027583,0.00003431
6640,0.00003148,0.00027571,0.00003424
6650,0.00003141,0.00027559,0.00003416
6660,0.00003134,0.00027548,0.00003409
6670,0.00003126,0.00027537,0.00003402
6680,0.00003119,0.00027526,0.00003395
